decile,claims,fraud_cases,fraud_rate,lift
1,231,45,0.19480519480519481,3.2651044607566346
2,231,29,0.12554112554112554,2.1041784302653865
3,231,20,0.08658008658008658,1.4511575381140598
4,232,17,0.07327586206896551,1.2281671664167915
5,231,20,0.08658008658008658,1.4511575381140598
6,231,1,0.004329004329004329,0.07255787690570299
7,232,3,0.01293103448275862,0.21673538230884556
8,231,1,0.004329004329004329,0.07255787690570299
9,231,2,0.008658008658008658,0.14511575381140598
10,232,0,0.0,0.0
